sustainability_rating,eco_friendly_manufacturing,carbon_footprint,water_usage,waste_production,recycling_programs,average_price,product_nameproduct_category,sustainability_status,eco_index,sustainability_level,brand_name,brand_category,country_name,region,year,material_type,renewable,product_line,target_audience,market_trend,trend_score,certification,cert_type
2.91,0,4.97,136,12.34,0,27.92,TerraPack - Office Supplies,Not Sustainable,2.772,Low,Earthly,Local,Vietnam,Asia,2020,Bioplastic,Yes,Office Supplies,Business,Declining,1,EU Ecolabel,Environmental
3.38,0,12.51,748,2.14,0,33.38,EcoCup - Packaging,Not Sustainable,3.004,Medium,ReNewCo,Local,Egypt,Africa,2021,Paperboard,Yes,Packaging,Business,Stable,2,EU Ecolabel,Environmental
2.84,1,9.98,228,3.65,0,22.67,EcoBrush - Electronics Accessories,Not Sustainable,2.582,Low,EcoCraft,Multinational,China,Asia,2017,Stainless Steel,No,Electronics Accessories,Business,Stable,2,ISO14001,Environmental
3.71,1,0.47,143,3.02,1,54.68,TerraJar - Home,Partially Sustainable,7.385,High,GreenRoots,Local,Turkey,Asia,2021,Hemp,Yes,Home,Household,Rising,3,Fair Trade,Ethical
2.53,0,31.62,3245,1.67,0,26.21,BioToy - Kitchenware,Not Sustainable,1.922,Low,TerraLeaf,Local,Turkey,Asia,2015,Hemp,Yes,Kitchenware,Household,Stable,2,None,None
2.78,0,15.05,190,2.68,0,63.63,GreenTowel - Kitchenware,Not Sustainable,2.416,Low,BioBloom,Local,India,Asia,2018,Paperboard,Yes,Kitchenware,Household,Declining,1,ISO14001,Environmental
4.26,1,48.12,579,0.91,1,43.52,EcoShirt - Kitchenware,Fully Sustainable,5.752,Medium,ReNewCo,Local,India,Asia,2018,Bamboo,Yes,Kitchenware,Household,Rising,3,GOTS,Environmental
4.47,1,6.4,960,6.96,1,67.48,GreenBar - Personal Care,Fully Sustainable,8.402,High,GreenWorks,Startup,USA,Americas,2023,Hemp,Yes,Personal Care,Adults,Rising,3,None,None
3.12,0,7.51,292,17.6,0,1.23,EcoBar - Toys,Not Sustainable,2.902,Low,EcoPure,Local,USA,Americas,2019,Bioplastic,Yes,Toys,Kids,Declining,1,GOTS,Environmental
1.64,0,38.37,414,6.55,1,25.58,PureBar - Clothing,Not Sustainable,2.37,Low,PlanetWell,Local,Turkey,Asia,2016,Organic Cotton,Yes,Clothing,Adults,Declining,1,None,None
3.0,0,3.59,5450,2.02,0,9.11,PureShirt - Office Supplies,Not Sustainable,2.896,Low,EnviroGoods,Startup,UK,Europe,2016,Aluminum,Partial,Office Supplies,Business,Rising,3,Energy Star,Energy
4.49,1,10.16,277,5.68,0,56.15,ReCup - Home,Partially Sustainable,4.076,Medium,BluePlanet,Multinational,Italy,Europe,2019,Bamboo,Yes,Home,Household,Stable,2,ISO14001,Environmental
3.2,0,100.48,34,9.43,0,14.41,BioTowel - Toys,Not Sustainable,1.596,Low,EcoPure,Local,Brazil,Americas,2020,Bamboo,Yes,Toys,Kids,Declining,1,Energy Star,Energy
4.74,1,15.96,124,6.35,1,55.8,EcoShirt - Personal Care,Fully Sustainable,8.175,High,LeafyLiving,Multinational,Germany,Europe,2019,Bioplastic,Yes,Personal Care,Adults,Rising,3,GOTS,Environmental
4.08,1,6.03,189,3.98,1,35.18,TerraPack - Toys,Fully Sustainable,7.696,High,EarthKind,Local,China,Asia,2022,Bamboo,Yes,Toys,Kids,Declining,1,Rainforest Alliance,Environmental
4.17,0,2.19,492,3.02,0,24.12,RePack - Office Supplies,Not Sustainable,4.081,Medium,EcoSense,Local,Brazil,Americas,2021,Recycled Plastic,Partial,Office Supplies,Business,Declining,1,Energy Star,Energy
2.83,1,19.82,6,2.73,1,10.16,BioTowel - Home,Not Sustainable,4.724,Medium,EcoSense,Local,Spain,Europe,2015,Bioplastic,Yes,Home,Household,Rising,3,None,None
3.98,1,7.77,269,16.31,0,49.72,ReTowel - Garden,Partially Sustainable,3.693,Medium,Sustainify,Startup,UK,Europe,2022,Hemp,Yes,Garden,Household,Rising,3,Rainforest Alliance,Environmental
4.31,0,9.56,607,3.09,1,35.16,GreenToy - Packaging,Partially Sustainable,7.868,High,GreenWave,Startup,Italy,Europe,2017,Organic Cotton,Yes,Packaging,Business,Stable,2,GOTS,Environmental
3.87,1,9.89,2165,3.6,1,42.98,GreenBottle - Packaging,Partially Sustainable,7.043,High,EarthKind,Local,Egypt,Africa,2017,Glass,Partial,Packaging,Business,Rising,3,Fair Trade,Ethical
4.81,0,38.04,50,5.15,1,55.86,TerraPack - Clothing,Partially Sustainable,6.969,High,GreenWorks,Startup,Spain,Europe,2020,Bioplastic,Yes,Clothing,Adults,Rising,3,FSC,Environmental
4.3,1,5.19,144,9.35,1,26.57,GreenBottle - Office Supplies,Fully Sustainable,8.176,High,PureCycle,Local,USA,Americas,2020,Stainless Steel,No,Office Supplies,Business,Declining,1,ISO14001,Environmental
3.23,0,105.31,413,2.46,0,14.14,BioBottle - Garden,Not Sustainable,1.573,Low,BluePlanet,Multinational,Vietnam,Asia,2024,Stainless Steel,No,Garden,Household,Rising,3,Energy Star,Energy
3.8,1,4.84,274,5.7,0,52.49,BioPack - Garden,Partially Sustainable,3.625,Medium,LeafyLiving,Multinational,Italy,Europe,2025,Recycled Plastic,Partial,Garden,Household,Declining,1,ISO14001,Environmental
4.1,0,8.21,1385,3.04,0,17.46,EcoBrush - Packaging,Not Sustainable,3.789,Medium,BluePlanet,Multinational,India,Asia,2019,Organic Cotton,Yes,Packaging,Business,Stable,2,Energy Star,Energy
3.35,1,88.51,514,4.67,1,53.06,TerraBrush - Clothing,Partially Sustainable,3.554,Medium,ReNewCo,Local,Egypt,Africa,2018,Paperboard,Yes,Clothing,Adults,Rising,3,Energy Star,Energy
2.21,0,8.18,85,8.11,0,19.6,TerraBrush - Garden,Not Sustainable,2.043,Low,LeafyLiving,Multinational,Egypt,Africa,2023,Aluminum,Partial,Garden,Household,Declining,1,ISO14001,Environmental
4.89,1,16.89,163,3.4,1,45.67,EcoTowel - Office Supplies,Fully Sustainable,8.367,High,PlanetWell,Local,China,Asia,2018,Hemp,Yes,Office Supplies,Business,Declining,1,ISO14001,Environmental
2.0,0,473.59,1180,7.31,1,24.23,PureCup - Personal Care,Not Sustainable,0.697,Low,TerraLeaf,Local,Turkey,Asia,2025,Glass,Partial,Personal Care,Adults,Declining,1,EU Ecolabel,Environmental
4.14,1,14.4,156,6.76,1,42.19,TerraBrush - Home,Fully Sustainable,7.238,High,EcoCraft,Multinational,Brazil,Americas,2017,Hemp,Yes,Home,Household,Stable,2,Energy Star,Energy
2.77,0,103.34,714,10.0,1,43.58,PureShirt - Electronics Accessories,Not Sustainable,2.725,Low,TerraLeaf,Local,China,Asia,2017,Recycled Plastic,Partial,Electronics Accessories,Business,Rising,3,EU Ecolabel,Environmental
3.52,1,27.41,1060,2.32,0,31.01,GreenCup - Garden,Partially Sustainable,2.763,Low,BluePlanet,Multinational,Turkey,Asia,2016,Stainless Steel,No,Garden,Household,Declining,1,GOTS,Environmental
3.61,1,7.47,6299,1.24,0,11.63,TerraShirt - Office Supplies,Partially Sustainable,3.359,Medium,TerraLeaf,Local,Turkey,Asia,2016,Bioplastic,Yes,Office Supplies,Business,Stable,2,None,None
4.68,1,28.77,82,6.11,0,63.82,ReToy - Office Supplies,Partially Sustainable,3.634,Medium,TerraLeaf,Local,USA,Americas,2017,Bioplastic,Yes,Office Supplies,Business,Rising,3,FSC,Environmental
3.47,1,272.55,51,8.42,0,47.2,PureJar - Kitchenware,Partially Sustainable,0.931,Low,GreenWorks,Startup,Turkey,Asia,2021,Hemp,Yes,Kitchenware,Household,Rising,3,Fair Trade,Ethical
4.3,0,12.88,223,5.7,0,50.24,GreenToy - Garden,Not Sustainable,3.809,Medium,EcoMate,Startup,Vietnam,Asia,2016,Glass,Partial,Garden,Household,Declining,1,FSC,Environmental
4.04,1,48.33,101,3.28,1,21.3,ReToy - Toys,Fully Sustainable,5.447,Medium,NatureNest,Local,Germany,Europe,2015,Organic Cotton,Yes,Toys,Kids,Rising,3,Rainforest Alliance,Environmental
3.15,0,61.57,510,50.21,1,29.4,TerraShirt - Home,Partially Sustainable,3.899,Medium,LeafyLiving,Multinational,Vietnam,Asia,2015,Bioplastic,Yes,Home,Household,Declining,1,Cradle to Cradle,Environmental
3.55,1,22.0,184,4.21,1,47.42,ReToy - Toys,Partially Sustainable,5.82,Medium,EcoMate,Startup,USA,Americas,2022,Paperboard,Yes,Toys,Kids,Rising,3,None,None
3.6,1,8.82,129,2.93,0,32.11,ReCup - Clothing,Partially Sustainable,3.308,Medium,ReNewCo,Local,India,Asia,2023,Hemp,Yes,Clothing,Adults,Stable,2,Fair Trade,Ethical
4.57,0,3.81,199,4.12,0,13.19,GreenCup - Office Supplies,Not Sustainable,4.402,Medium,EnviroGoods,Startup,USA,Americas,2019,Bioplastic,Yes,Office Supplies,Business,Stable,2,GOTS,Environmental
2.75,0,12.74,194,6.19,0,20.09,BioShirt - Home,Not Sustainable,2.439,Low,PlanetWell,Local,Brazil,Americas,2015,Organic Cotton,Yes,Home,Household,Rising,3,None,None
3.0,0,35.8,3705,21.66,1,3.84,PureBottle - Electronics Accessories,Partially Sustainable,4.418,Medium,BioBloom,Local,India,Asia,2020,Bioplastic,Yes,Electronics Accessories,Business,Declining,1,GOTS,Environmental
4.02,0,14.38,415,2.82,1,36.96,BioBrush - Office Supplies,Partially Sustainable,7.029,High,EcoCraft,Multinational,India,Asia,2023,Stainless Steel,No,Office Supplies,Business,Declining,1,Cradle to Cradle,Environmental
3.64,1,10.79,131,2.91,0,34.91,BioBottle - Home,Partially Sustainable,3.285,Medium,PlanetWell,Local,China,Asia,2021,Organic Cotton,Yes,Home,Household,Declining,1,Rainforest Alliance,Environmental
4.04,1,40.1,189,5.19,1,49.84,TerraShirt - Garden,Fully Sustainable,5.767,Medium,EarthKind,Local,China,Asia,2016,Organic Cotton,Yes,Garden,Household,Stable,2,EU Ecolabel,Environmental
4.55,0,13.82,225,4.31,1,23.25,ReShirt - Toys,Partially Sustainable,7.995,High,EcoCraft,Multinational,USA,Americas,2024,Stainless Steel,No,Toys,Kids,Rising,3,Fair Trade,Ethical
3.33,1,44.5,917,3.64,0,31.57,EcoBrush - Office Supplies,Partially Sustainable,2.304,Low,GreenWorks,Startup,UK,Europe,2018,Bamboo,Yes,Office Supplies,Business,Rising,3,EU Ecolabel,Environmental
2.76,0,50.68,458,4.05,1,17.17,PureBrush - Electronics Accessories,Not Sustainable,3.663,Medium,EcoCraft,Multinational,Italy,Europe,2018,Paperboard,Yes,Electronics Accessories,Business,Declining,1,None,None
3.44,0,13.07,904,3.18,0,53.29,TerraShirt - Packaging,Not Sustainable,3.042,Medium,PlanetWell,Local,Turkey,Asia,2017,Hemp,Yes,Packaging,Business,Stable,2,ISO14001,Environmental
4.82,1,5.54,295,1.92,1,38.3,ReBar - Electronics Accessories,Fully Sustainable,9.134,High,LeafyLiving,Multinational,India,Asia,2025,Paperboard,Yes,Electronics Accessories,Business,Declining,1,Energy Star,Energy
5.0,0,9.42,396,5.4,1,29.99,ReBottle - Clothing,Partially Sustainable,9.139,High,EcoMate,Startup,USA,Americas,2025,Recycled Plastic,Partial,Clothing,Adults,Rising,3,ISO14001,Environmental
2.73,0,7.58,175,0.4,0,30.47,RePack - Home,Not Sustainable,2.538,Low,TerraLeaf,Local,Spain,Europe,2021,Bamboo,Yes,Home,Household,Declining,1,None,None
5.0,1,14.85,47,1.86,1,38.12,BioToy - Personal Care,Fully Sustainable,8.707,High,BioBloom,Local,Vietnam,Asia,2015,Hemp,Yes,Personal Care,Adults,Rising,3,GOTS,Environmental
2.58,0,62.56,1405,1.9,0,31.68,PureTowel - Electronics Accessories,Not Sustainable,1.587,Low,LeafyLiving,Multinational,Brazil,Americas,2025,Stainless Steel,No,Electronics Accessories,Business,Declining,1,ISO14001,Environmental
4.87,1,89.26,8326,1.51,0,86.06,EcoTowel - Kitchenware,Partially Sustainable,2.573,Low,NatureNest,Local,Germany,Europe,2025,Glass,Partial,Kitchenware,Household,Rising,3,Energy Star,Energy
3.18,0,12.23,657,2.83,0,32.79,BioBar - Electronics Accessories,Not Sustainable,2.833,Low,BluePlanet,Multinational,USA,Americas,2015,Organic Cotton,Yes,Electronics Accessories,Business,Stable,2,GOTS,Environmental
2.31,0,22.61,2696,5.4,0,20.22,BioCup - Office Supplies,Not Sustainable,1.884,Low,PlanetWell,Local,India,Asia,2017,Hemp,Yes,Office Supplies,Business,Rising,3,None,None
3.93,0,56.92,48,6.96,0,30.28,PureJar - Packaging,Not Sustainable,2.504,Low,ReNewCo,Local,UK,Europe,2018,Aluminum,Partial,Packaging,Business,Rising,3,FSC,Environmental
3.65,1,55.42,92,1.75,0,2.47,EcoCup - Office Supplies,Partially Sustainable,2.348,Low,EarthKind,Local,Egypt,Africa,2018,Paperboard,Yes,Office Supplies,Business,Declining,1,Fair Trade,Ethical
3.01,0,88.01,404,1.48,0,17.81,EcoShirt - Packaging,Not Sustainable,1.601,Low,NatureNest,Local,France,Europe,2019,Recycled Plastic,Partial,Packaging,Business,Declining,1,EU Ecolabel,Environmental
2.16,0,9.75,961,2.04,1,33.29,ReJar - Office Supplies,Not Sustainable,3.936,Medium,EcoMate,Startup,China,Asia,2018,Aluminum,Partial,Office Supplies,Business,Declining,1,ISO14001,Environmental
3.44,0,22.28,294,9.09,0,41.15,EcoJar - Office Supplies,Not Sustainable,2.813,Low,GreenRoots,Local,Egypt,Africa,2017,Organic Cotton,Yes,Office Supplies,Business,Stable,2,Rainforest Alliance,Environmental
3.8,1,32.29,285,6.88,1,27.93,ReTowel - Packaging,Partially Sustainable,5.745,Medium,PureCycle,Local,USA,Americas,2016,Aluminum,Partial,Packaging,Business,Declining,1,ISO14001,Environmental
3.5,1,15.26,233,2.41,1,37.02,EcoToy - Electronics Accessories,Partially Sustainable,6.073,High,VerdeVibe,Local,Italy,Europe,2024,Bioplastic,Yes,Electronics Accessories,Business,Rising,3,Rainforest Alliance,Environmental
4.68,1,45.47,62,11.29,1,37.03,EcoBar - Office Supplies,Fully Sustainable,6.434,High,NatureNest,Local,UK,Europe,2018,Stainless Steel,No,Office Supplies,Business,Rising,3,GOTS,Environmental
4.04,1,6.9,406,5.34,1,13.13,GreenBar - Home,Fully Sustainable,7.558,High,ReNewCo,Local,Brazil,Americas,2015,Glass,Partial,Home,Household,Rising,3,Cradle to Cradle,Environmental
4.05,1,65.43,277,13.66,1,32.65,EcoCup - Clothing,Fully Sustainable,4.896,Medium,ReNewCo,Local,Vietnam,Asia,2018,Glass,Partial,Clothing,Adults,Declining,1,EU Ecolabel,Environmental
4.26,1,1.74,5851,14.79,1,33.33,TerraBrush - Home,Fully Sustainable,8.374,High,EcoMate,Startup,UK,Europe,2018,Recycled Plastic,Partial,Home,Household,Rising,3,Energy Star,Energy
1.73,0,45.56,121,9.53,0,18.47,GreenToy - Clothing,Not Sustainable,1.189,Low,ReNewCo,Local,Egypt,Africa,2022,Aluminum,Partial,Clothing,Adults,Stable,2,ISO14001,Environmental
2.65,0,79.52,1368,12.78,0,21.63,BioJar - Kitchenware,Not Sustainable,1.476,Low,BioBloom,Local,China,Asia,2023,Glass,Partial,Kitchenware,Household,Declining,1,EU Ecolabel,Environmental
2.23,0,78.17,426,1.65,0,37.58,PureBar - Clothing,Not Sustainable,1.252,Low,Earthly,Local,Vietnam,Asia,2017,Organic Cotton,Yes,Clothing,Adults,Declining,1,EU Ecolabel,Environmental
5.0,1,12.29,3432,3.6,1,39.29,EcoJar - Personal Care,Fully Sustainable,8.906,High,Sustainify,Startup,Germany,Europe,2015,Bamboo,Yes,Personal Care,Adults,Stable,2,FSC,Environmental
2.93,1,122.5,187,9.74,0,15.91,ReTowel - Electronics Accessories,Not Sustainable,1.317,Low,ReNewCo,Local,Italy,Europe,2017,Organic Cotton,Yes,Electronics Accessories,Business,Stable,2,EU Ecolabel,Environmental
3.09,0,63.64,289,3.38,1,42.89,PureTowel - Toys,Partially Sustainable,3.777,Medium,EarthKind,Local,Vietnam,Asia,2016,Bamboo,Yes,Toys,Kids,Rising,3,Cradle to Cradle,Environmental
4.94,1,24.85,119,2.12,1,45.6,BioBrush - Kitchenware,Fully Sustainable,7.913,High,BioBloom,Local,China,Asia,2017,Glass,Partial,Kitchenware,Household,Rising,3,Fair Trade,Ethical
3.79,0,6.86,880,4.57,1,7.16,GreenTowel - Office Supplies,Partially Sustainable,7.093,High,Earthly,Local,Spain,Europe,2023,Bioplastic,Yes,Office Supplies,Business,Declining,1,ISO14001,Environmental
2.66,0,15.61,475,29.03,0,25.17,BioTowel - Clothing,Not Sustainable,2.301,Low,Sustainify,Startup,Italy,Europe,2022,Aluminum,Partial,Clothing,Adults,Rising,3,None,None
2.74,0,31.46,332,6.99,1,31.11,TerraJar - Clothing,Not Sustainable,4.169,Medium,Earthly,Local,UK,Europe,2016,Recycled Plastic,Partial,Clothing,Adults,Rising,3,None,None
4.59,1,14.14,2079,8.16,1,30.29,EcoBrush - Electronics Accessories,Fully Sustainable,8.043,High,EnviroGoods,Startup,Spain,Europe,2024,Bamboo,Yes,Electronics Accessories,Business,Rising,3,ISO14001,Environmental
5.0,1,17.76,94,14.7,1,76.17,BioCup - Office Supplies,Fully Sustainable,8.492,High,VerdeVibe,Local,France,Europe,2016,Glass,Partial,Office Supplies,Business,Declining,1,GOTS,Environmental
3.47,1,12.25,331,8.58,0,48.87,ReShirt - Electronics Accessories,Partially Sustainable,3.091,Medium,GreenWave,Startup,France,Europe,2017,Bamboo,Yes,Electronics Accessories,Business,Rising,3,ISO14001,Environmental
4.01,1,19.08,2089,3.05,0,50.56,GreenBar - Office Supplies,Partially Sustainable,3.367,Medium,GreenRoots,Local,USA,Americas,2024,Paperboard,Yes,Office Supplies,Business,Rising,3,Rainforest Alliance,Environmental
3.24,0,33.42,380,4.49,0,21.74,EcoToy - Clothing,Not Sustainable,2.428,Low,EcoCraft,Multinational,Turkey,Asia,2015,Organic Cotton,Yes,Clothing,Adults,Declining,1,None,None
4.71,1,6.71,115,23.73,1,56.77,ReToy - Home,Fully Sustainable,8.828,High,Sustainify,Startup,Vietnam,Asia,2025,Recycled Plastic,Partial,Home,Household,Stable,2,Cradle to Cradle,Environmental
1.35,0,21.75,87,2.93,0,38.58,TerraCup - Toys,Not Sustainable,1.109,Low,EcoPure,Local,Spain,Europe,2024,Organic Cotton,Yes,Toys,Kids,Stable,2,None,None
3.38,0,6.65,449,1.06,1,30.04,GreenBrush - Office Supplies,Partially Sustainable,6.338,High,PlanetWell,Local,India,Asia,2017,Recycled Plastic,Partial,Office Supplies,Business,Stable,2,Energy Star,Energy
3.13,0,100.78,2451,9.78,0,21.4,EcoBrush - Toys,Not Sustainable,1.559,Low,TerraLeaf,Local,USA,Americas,2017,Aluminum,Partial,Toys,Kids,Stable,2,FSC,Environmental
5.0,1,2.71,47,3.08,1,78.81,BioToy - Packaging,Fully Sustainable,9.736,High,LeafyLiving,Multinational,UK,Europe,2015,Organic Cotton,Yes,Packaging,Business,Rising,3,EU Ecolabel,Environmental
3.32,0,17.65,75,10.88,0,42.5,PureCup - Home,Not Sustainable,2.822,Low,TerraLeaf,Local,Turkey,Asia,2023,Aluminum,Partial,Home,Household,Rising,3,EU Ecolabel,Environmental
4.21,1,8.65,139,1.21,1,38.36,ReBottle - Personal Care,Fully Sustainable,7.75,High,GreenRoots,Local,Germany,Europe,2020,Bioplastic,Yes,Personal Care,Adults,Declining,1,EU Ecolabel,Environmental
2.53,1,8.28,324,3.5,1,12.23,TerraToy - Kitchenware,Not Sustainable,4.673,Medium,Earthly,Local,Vietnam,Asia,2015,Paperboard,Yes,Kitchenware,Household,Declining,1,None,None
3.92,1,19.16,251,4.86,1,19.33,GreenCup - Packaging,Partially Sustainable,6.579,High,GreenWorks,Startup,Italy,Europe,2025,Stainless Steel,No,Packaging,Business,Rising,3,GOTS,Environmental
3.59,1,22.73,64,10.78,1,17.68,TerraJar - Packaging,Partially Sustainable,5.85,Medium,GreenRoots,Local,China,Asia,2023,Stainless Steel,No,Packaging,Business,Declining,1,Fair Trade,Ethical
3.58,1,62.83,1196,4.55,0,25.36,GreenCup - Office Supplies,Partially Sustainable,2.199,Low,EcoSense,Local,Germany,Europe,2023,Glass,Partial,Office Supplies,Business,Declining,1,GOTS,Environmental
4.35,1,30.56,148,1.85,1,7.41,TerraCup - Packaging,Fully Sustainable,6.664,High,ReNewCo,Local,USA,Americas,2025,Recycled Plastic,Partial,Packaging,Business,Declining,1,Fair Trade,Ethical
3.64,1,17.73,1512,6.02,1,51.41,GreenPack - Personal Care,Partially Sustainable,6.184,High,LeafyLiving,Multinational,India,Asia,2017,Organic Cotton,Yes,Personal Care,Adults,Stable,2,Cradle to Cradle,Environmental
2.87,0,75.73,258,10.24,1,1.82,PureToy - Kitchenware,Not Sustainable,3.266,Medium,BioBloom,Local,India,Asia,2019,Recycled Plastic,Partial,Kitchenware,Household,Stable,2,None,None
3.71,1,2.59,274,6.39,1,24.29,ReBar - Toys,Partially Sustainable,7.233,High,NatureNest,Local,India,Asia,2015,Bamboo,Yes,Toys,Kids,Stable,2,Cradle to Cradle,Environmental
2.55,0,62.25,473,3.49,0,21.13,PureShirt - Packaging,Not Sustainable,1.572,Low,PlanetWell,Local,Germany,Europe,2015,Recycled Plastic,Partial,Packaging,Business,Stable,2,None,None
5.0,1,40.59,1038,4.91,0,47.5,GreenBottle - Packaging,Partially Sustainable,3.556,Medium,NatureNest,Local,Germany,Europe,2023,Stainless Steel,No,Packaging,Business,Stable,2,Fair Trade,Ethical
1.34,0,19.47,433,1.28,0,8.96,BioPack - Electronics Accessories,Not Sustainable,1.122,Low,GreenWave,Startup,Egypt,Africa,2019,Organic Cotton,Yes,Electronics Accessories,Business,Rising,3,ISO14001,Environmental
1.72,0,32.97,1838,17.32,1,18.42,EcoShirt - Electronics Accessories,Not Sustainable,2.587,Low,GreenRoots,Local,India,Asia,2024,Bioplastic,Yes,Electronics Accessories,Business,Rising,3,None,None
2.63,0,3.78,63,1.7,0,7.97,PureShirt - Office Supplies,Not Sustainable,2.534,Low,VerdeVibe,Local,UK,Europe,2023,Paperboard,Yes,Office Supplies,Business,Rising,3,ISO14001,Environmental
3.36,0,7.6,631,3.74,0,28.76,EcoShirt - Electronics Accessories,Not Sustainable,3.123,Medium,PureCycle,Local,UK,Europe,2018,Bamboo,Yes,Electronics Accessories,Business,Rising,3,EU Ecolabel,Environmental
4.53,1,4.53,489,3.6,1,35.3,TerraTowel - Kitchenware,Fully Sustainable,8.667,High,TerraLeaf,Local,Italy,Europe,2023,Paperboard,Yes,Kitchenware,Household,Rising,3,FSC,Environmental
4.3,1,38.05,101,3.24,1,42.22,BioTowel - Clothing,Fully Sustainable,6.23,High,Earthly,Local,Vietnam,Asia,2023,Organic Cotton,Yes,Clothing,Adults,Rising,3,GOTS,Environmental
3.25,0,38.86,609,24.52,1,4.55,ReJar - Kitchenware,Partially Sustainable,4.681,Medium,BioBloom,Local,France,Europe,2017,Stainless Steel,No,Kitchenware,Household,Stable,2,FSC,Environmental
3.39,0,8.37,860,1.07,0,34.09,GreenToy - Clothing,Not Sustainable,3.128,Medium,EcoCraft,Multinational,Vietnam,Asia,2019,Recycled Plastic,Partial,Clothing,Adults,Declining,1,ISO14001,Environmental
2.93,1,11.44,84,3.3,0,40.57,EcoBrush - Home,Not Sustainable,2.629,Low,VerdeVibe,Local,Turkey,Asia,2017,Organic Cotton,Yes,Home,Household,Declining,1,EU Ecolabel,Environmental
3.48,0,37.85,2991,5.71,0,21.42,GreenPack - Clothing,Not Sustainable,2.524,Low,PlanetWell,Local,Germany,Europe,2018,Hemp,Yes,Clothing,Adults,Declining,1,Fair Trade,Ethical
3.92,1,10.27,194,1.05,1,48.09,BioToy - Home,Partially Sustainable,7.11,High,Sustainify,Startup,Vietnam,Asia,2017,Glass,Partial,Home,Household,Rising,3,FSC,Environmental
3.15,0,26.77,129,7.12,1,15.07,TerraTowel - Packaging,Partially Sustainable,4.97,Medium,GreenWave,Startup,Brazil,Americas,2016,Recycled Plastic,Partial,Packaging,Business,Rising,3,Cradle to Cradle,Environmental
3.37,0,50.24,1083,4.51,0,2.18,GreenBottle - Garden,Not Sustainable,2.243,Low,EcoPure,Local,Turkey,Asia,2025,Organic Cotton,Yes,Garden,Household,Stable,2,EU Ecolabel,Environmental
5.0,1,73.4,612,1.69,1,43.3,EcoBrush - Clothing,Fully Sustainable,5.767,Medium,GreenRoots,Local,Vietnam,Asia,2016,Recycled Plastic,Partial,Clothing,Adults,Rising,3,ISO14001,Environmental
3.01,0,82.34,640,2.44,1,18.04,ReJar - Clothing,Partially Sustainable,3.302,Medium,PureCycle,Local,Turkey,Asia,2021,Hemp,Yes,Clothing,Adults,Stable,2,Fair Trade,Ethical
4.51,0,73.49,1864,7.24,0,36.31,EcoTowel - Packaging,Not Sustainable,2.6,Low,TerraLeaf,Local,Turkey,Asia,2018,Recycled Plastic,Partial,Packaging,Business,Stable,2,Rainforest Alliance,Environmental
1.0,0,57.23,852,8.38,0,5.81,TerraPack - Garden,Not Sustainable,0.636,Low,GreenRoots,Local,France,Europe,2017,Hemp,Yes,Garden,Household,Stable,2,ISO14001,Environmental
2.31,1,50.12,1231,10.51,0,32.3,PureToy - Office Supplies,Not Sustainable,1.539,Low,GreenRoots,Local,India,Asia,2019,Organic Cotton,Yes,Office Supplies,Business,Rising,3,None,None
4.04,1,11.34,315,4.37,1,37.02,PureToy - Kitchenware,Fully Sustainable,7.257,High,PlanetWell,Local,Germany,Europe,2022,Stainless Steel,No,Kitchenware,Household,Rising,3,ISO14001,Environmental
4.4,1,29.19,3724,27.27,1,40.19,TerraToy - Clothing,Fully Sustainable,6.812,High,VerdeVibe,Local,Vietnam,Asia,2016,Organic Cotton,Yes,Clothing,Adults,Declining,1,None,None
1.0,0,146.47,446,3.59,1,0.98,BioBar - Clothing,Not Sustainable,0.811,Low,EcoMate,Startup,Italy,Europe,2016,Aluminum,Partial,Clothing,Adults,Declining,1,None,None
3.1,0,41.77,70,1.84,0,31.15,TerraJar - Kitchenware,Not Sustainable,2.187,Low,EnviroGoods,Startup,Italy,Europe,2024,Hemp,Yes,Kitchenware,Household,Declining,1,Energy Star,Energy
4.06,1,32.25,132,1.66,1,28.0,PureToy - Kitchenware,Fully Sustainable,6.14,High,TerraLeaf,Local,France,Europe,2019,Bamboo,Yes,Kitchenware,Household,Declining,1,ISO14001,Environmental
3.72,1,83.05,32,3.52,0,12.21,EcoBar - Electronics Accessories,Partially Sustainable,2.032,Low,EcoMate,Startup,China,Asia,2019,Organic Cotton,Yes,Electronics Accessories,Business,Rising,3,ISO14001,Environmental
2.01,0,82.6,1212,9.05,0,28.92,TerraJar - Clothing,Not Sustainable,1.101,Low,ReNewCo,Local,India,Asia,2017,Hemp,Yes,Clothing,Adults,Stable,2,None,None
3.07,0,14.83,6322,3.91,0,36.73,PurePack - Clothing,Not Sustainable,2.674,Low,EarthKind,Local,Brazil,Americas,2025,Recycled Plastic,Partial,Clothing,Adults,Declining,1,FSC,Environmental
3.51,1,3.15,34,2.66,1,45.94,TerraBar - Toys,Partially Sustainable,6.806,High,PlanetWell,Local,France,Europe,2018,Stainless Steel,No,Toys,Kids,Declining,1,ISO14001,Environmental
4.21,0,40.49,99,16.65,0,22.63,BioBottle - Home,Not Sustainable,2.997,Low,Earthly,Local,Egypt,Africa,2019,Organic Cotton,Yes,Home,Household,Rising,3,EU Ecolabel,Environmental
3.69,1,18.78,309,14.39,1,21.32,GreenTowel - Packaging,Partially Sustainable,6.213,High,Earthly,Local,USA,Americas,2021,Bioplastic,Yes,Packaging,Business,Rising,3,Cradle to Cradle,Environmental
